"areaName","landOwnerName","fullName","commonName","year"
"National Capital","NPS - Rock Creek","Normanstone Parkway","Empty",2020
"National Capital","NPS - Rock Creek","Normanstone Parkway","Human",2020
"National Capital","NPS - Rock Creek","Normanstone Parkway","Mourning Dove",2020
"National Capital","NPS - Rock Creek","Normanstone Parkway","Raccoon",2020
"National Capital","NPS - Rock Creek","Normanstone Parkway","Red fox",2020
"National Capital","NPS - Rock Creek","Normanstone Parkway","Unknown",2020
"National Capital","NPS - Rock Creek","Normanstone Parkway","White-tailed deer",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","American robin",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","Coopers Hawk",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","Domestic dog",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","Eastern chipmunk",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","Eastern gray squirrel",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","Empty",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","Human",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","Mouse",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","Red fox",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","Unknown",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","Virginia opossum",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Boundary Bridge","White-tailed deer",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Piney Branch","American robin",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Piney Branch","Bird",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Piney Branch","Eastern gray squirrel",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Piney Branch","Empty",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Piney Branch","Flying squirrel (cannot ID)",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Piney Branch","Human",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Piney Branch","Raccoon",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Piney Branch","Red fox",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Piney Branch","Unknown",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Piney Branch","White-tailed deer",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Bird",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Coyote",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Domestic dog",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Eastern cottontail rabbit",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Eastern gray squirrel",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Empty",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Human",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Mouse",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Pileated woodpecker",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Raccoon",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Red fox",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Unknown",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","Virginia opossum",2020
"National Capital","NPS - Rock Creek","Rock Creek Park: Stables","White-tailed deer",2020
"National Capital","Prince Georges County","Berkshire Park","Eastern cottontail rabbit",2020
"National Capital","Prince Georges County","Berkshire Park","Eastern gray squirrel",2020
"National Capital","Prince Georges County","Berkshire Park","Empty",2020
"National Capital","Prince Georges County","Berkshire Park","Human",2020
"National Capital","Prince Georges County","Berkshire Park","Raccoon",2020
"National Capital","Prince Georges County","Berkshire Park","Red fox",2020
"National Capital","Prince Georges County","Berkshire Park","Unknown",2020
"National Capital","Prince Georges County","Berkshire Park","Virginia opossum",2020
"National Capital","Prince Georges County","Berkshire Park","White-tailed deer",2020
"National Capital","Prince Georges County","Cricket Grounds","Bird",2020
"National Capital","Prince Georges County","Cricket Grounds","Domestic cat",2020
"National Capital","Prince Georges County","Cricket Grounds","Eastern gray squirrel",2020
"National Capital","Prince Georges County","Cricket Grounds","Empty",2020
"National Capital","Prince Georges County","Cricket Grounds","Human",2020
"National Capital","Prince Georges County","Cricket Grounds","Northern cardinal",2020
"National Capital","Prince Georges County","Cricket Grounds","Raccoon",2020
"National Capital","Prince Georges County","Cricket Grounds","Red fox",2020
"National Capital","Prince Georges County","Cricket Grounds","Unknown",2020
"National Capital","Prince Georges County","Cricket Grounds","Virginia opossum",2020
"National Capital","Prince Georges County","Cricket Grounds","White-tailed deer",2020
"National Capital","Prince Georges County","Glenridge Community Park","American robin",2020
"National Capital","Prince Georges County","Glenridge Community Park","Bird",2020
"National Capital","Prince Georges County","Glenridge Community Park","Dark-eyed Junco",2020
"National Capital","Prince Georges County","Glenridge Community Park","Domestic cat",2020
"National Capital","Prince Georges County","Glenridge Community Park","Eastern gray squirrel",2020
"National Capital","Prince Georges County","Glenridge Community Park","Empty",2020
"National Capital","Prince Georges County","Glenridge Community Park","Human",2020
"National Capital","Prince Georges County","Glenridge Community Park","Mourning Dove",2020
"National Capital","Prince Georges County","Glenridge Community Park","Raccoon",2020
"National Capital","Prince Georges County","Glenridge Community Park","Red fox",2020
"National Capital","Prince Georges County","Glenridge Community Park","Unknown",2020
"National Capital","Prince Georges County","Glenridge Community Park","Virginia opossum",2020
"National Capital","Prince Georges County","Glenridge Community Park","White-tailed deer",2020
"National Capital","Prince Georges County","Glenridge Community Park","Wood Thrush ",2020
"National Capital","Prince Georges County","Millwood Rec Center","American robin",2020
"National Capital","Prince Georges County","Millwood Rec Center","Bird",2020
"National Capital","Prince Georges County","Millwood Rec Center","Domestic cat",2020
"National Capital","Prince Georges County","Millwood Rec Center","Domestic dog",2020
"National Capital","Prince Georges County","Millwood Rec Center","Eastern gray squirrel",2020
"National Capital","Prince Georges County","Millwood Rec Center","Empty",2020
"National Capital","Prince Georges County","Millwood Rec Center","Human",2020
"National Capital","Prince Georges County","Millwood Rec Center","Raccoon",2020
"National Capital","Prince Georges County","Millwood Rec Center","Red fox",2020
"National Capital","Prince Georges County","Millwood Rec Center","Unknown",2020
"National Capital","Prince Georges County","Millwood Rec Center","Virginia opossum",2020
"National Capital","Prince Georges County","Millwood Rec Center","White-tailed deer",2020
"National Capital","Prince Georges County","Prince Georges Mall","American robin",2020
"National Capital","Prince Georges County","Prince Georges Mall","Bird",2020
"National Capital","Prince Georges County","Prince Georges Mall","Domestic cat",2020
"National Capital","Prince Georges County","Prince Georges Mall","Eastern gray squirrel",2020
"National Capital","Prince Georges County","Prince Georges Mall","Empty",2020
"National Capital","Prince Georges County","Prince Georges Mall","Human",2020
"National Capital","Prince Georges County","Prince Georges Mall","Mouse",2020
"National Capital","Prince Georges County","Prince Georges Mall","Raccoon",2020
"National Capital","Prince Georges County","Prince Georges Mall","Virginia opossum",2020
"National Capital","Prince Georges County","Prince Georges Mall","White-tailed deer",2020
"National Capital","Prince Georges County","Rollingcrest Pool","Bird",2020
"National Capital","Prince Georges County","Rollingcrest Pool","Bird - Blue jay",2020
"National Capital","Prince Georges County","Rollingcrest Pool","Eastern gray squirrel",2020
"National Capital","Prince Georges County","Rollingcrest Pool","Empty",2020
"National Capital","Prince Georges County","Rollingcrest Pool","Human",2020
"National Capital","Prince Georges County","Rollingcrest Pool","Mourning Dove",2020
"National Capital","Prince Georges County","Rollingcrest Pool","Northern Flicker",2020
"National Capital","Prince Georges County","Rollingcrest Pool","Raccoon",2020
"National Capital","Prince Georges County","Rollingcrest Pool","Red fox",2020
"National Capital","Prince Georges County","Rollingcrest Pool","Unknown",2020
"National Capital","Prince Georges County","Rollingcrest Pool","White-tailed deer",2020
"National Capital","Prince Georges County","Suitland Parkway","Bird",2020
"National Capital","Prince Georges County","Suitland Parkway","Eastern gray squirrel",2020
"National Capital","Prince Georges County","Suitland Parkway","Empty",2020
"National Capital","Prince Georges County","Suitland Parkway","Human",2020
"National Capital","Prince Georges County","Suitland Parkway","Raccoon",2020
"National Capital","Prince Georges County","Suitland Parkway","Red fox",2020
"National Capital","Prince Georges County","Suitland Parkway","Unknown",2020
"National Capital","Prince Georges County","Suitland Parkway","Virginia opossum",2020
"National Capital","Prince Georges County","Suitland Parkway","White-tailed deer",2020
"National Capital","Prince Georges County","Suitland Parkway","Woodchuck",2020
"National Capital","Prince Georges County","Tucker Community Center","American robin",2020
"National Capital","Prince Georges County","Tucker Community Center","Bird",2020
"National Capital","Prince Georges County","Tucker Community Center","Domestic cat",2020
"National Capital","Prince Georges County","Tucker Community Center","Domestic dog",2020
"National Capital","Prince Georges County","Tucker Community Center","Eastern cottontail rabbit",2020
"National Capital","Prince Georges County","Tucker Community Center","Eastern gray squirrel",2020
"National Capital","Prince Georges County","Tucker Community Center","Empty",2020
"National Capital","Prince Georges County","Tucker Community Center","Gray fox",2020
"National Capital","Prince Georges County","Tucker Community Center","Human",2020
"National Capital","Prince Georges County","Tucker Community Center","Raccoon",2020
"National Capital","Prince Georges County","Tucker Community Center","Red fox",2020
"National Capital","Prince Georges County","Tucker Community Center","Unknown",2020
"National Capital","Prince Georges County","Tucker Community Center","White-tailed deer",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","American robin",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","Bird",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","Eastern gray squirrel",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","Empty",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","Human",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","North American river otter",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","Northern cardinal",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","Northern Flicker",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","Raccoon",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","Red Bellied Woodpecker",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","Red fox",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","Virginia opossum",2020
"National Capital","Prince Georges County","Walker Mill Regional Park","White-tailed deer",2020
"National Capital","USDA","National Arboretum","American robin",2020
"National Capital","USDA","National Arboretum","Bird",2020
"National Capital","USDA","National Arboretum","Bird - Blue jay",2020
"National Capital","USDA","National Arboretum","Common Grackle",2020
"National Capital","USDA","National Arboretum","Eastern cottontail rabbit",2020
"National Capital","USDA","National Arboretum","Eastern gray squirrel",2020
"National Capital","USDA","National Arboretum","Empty",2020
"National Capital","USDA","National Arboretum","Human",2020
"National Capital","USDA","National Arboretum","Northern Flicker",2020
"National Capital","USDA","National Arboretum","Raccoon",2020
"National Capital","USDA","National Arboretum","Red fox",2020
"National Capital","USDA","National Arboretum","White-tailed deer",2020
"National Capital","USDA","National Arboretum","Wood Thrush ",2020
