"","CommonName","locationAbbr","photoDateTime","photoName","visitDateTime","activeStart","activeEnd","firstPhotoDate","lastPhotoDate","visitID","date"
"54753","Empty","D02-BMT2",2019-01-23 23:00:17,"VID1302-00011.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54754","Empty","D02-BMT2",2019-01-23 23:01:05,"VID1302-00012.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54755","Empty","D02-BMT2",2019-01-23 23:01:05,"VID1302-00012.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54756","Empty","D02-BMT2",2019-01-23 23:01:44,"VID1302-00013.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54757","Empty","D02-BMT2",2019-01-23 23:01:44,"VID1302-00013.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54758","Empty","D02-BMT2",2019-01-23 23:02:19,"VID1302-00014.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54759","Empty","D02-BMT2",2019-01-23 23:02:19,"VID1302-00014.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54760","Empty","D02-BMT2",2019-01-23 23:04:43,"VID1302-00015.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54761","Empty","D02-BMT2",2019-01-23 23:04:43,"VID1302-00015.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54762","Empty","D02-BMT2",2019-01-23 23:05:18,"VID1302-00016.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54763","Empty","D02-BMT2",2019-01-23 23:05:18,"VID1302-00016.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54764","Empty","D02-BMT2",2019-01-23 23:06:15,"VID1302-00017.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54765","Empty","D02-BMT2",2019-01-23 23:06:15,"VID1302-00017.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54766","Empty","D02-BMT2",2019-01-23 23:08:14,"VID1302-00018.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54767","Empty","D02-BMT2",2019-01-23 23:08:14,"VID1302-00018.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54768","Empty","D02-BMT2",2019-01-23 23:09:05,"VID1302-00019.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54769","Empty","D02-BMT2",2019-01-23 23:09:05,"VID1302-00019.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54770","Empty","D02-BMT2",2019-01-23 23:10:05,"VID1302-00020.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54771","Empty","D02-BMT2",2019-01-23 23:10:05,"VID1302-00020.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54772","Empty","D02-BMT2",2019-01-23 23:10:56,"VID1302-00021.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54773","Empty","D02-BMT2",2019-01-23 23:10:56,"VID1302-00021.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54774","Empty","D02-BMT2",2019-01-23 23:12:13,"VID1302-00022.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54775","Empty","D02-BMT2",2019-01-23 23:12:13,"VID1302-00022.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54776","Empty","D02-BMT2",2019-01-23 23:12:44,"VID1302-00023.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54777","Empty","D02-BMT2",2019-01-23 23:12:44,"VID1302-00023.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54778","Empty","D02-BMT2",2019-01-23 23:13:52,"VID1302-00024.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54779","Empty","D02-BMT2",2019-01-23 23:13:52,"VID1302-00024.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54780","Empty","D02-BMT2",2019-01-23 23:14:36,"VID1302-00025.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54781","Empty","D02-BMT2",2019-01-23 23:14:36,"VID1302-00025.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54782","Empty","D02-BMT2",2019-01-23 23:15:44,"VID1302-00026.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54783","Empty","D02-BMT2",2019-01-23 23:15:44,"VID1302-00026.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54784","Empty","D02-BMT2",2019-01-23 23:16:36,"VID1302-00027.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54785","Empty","D02-BMT2",2019-01-23 23:16:36,"VID1302-00027.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54786","Empty","D02-BMT2",2019-01-23 23:17:15,"VID1302-00028.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54787","Empty","D02-BMT2",2019-01-23 23:17:15,"VID1302-00028.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54788","Empty","D02-BMT2",2019-01-23 23:17:53,"VID1302-00029.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54789","Empty","D02-BMT2",2019-01-23 23:17:53,"VID1302-00029.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54790","Empty","D02-BMT2",2019-01-23 23:18:37,"VID1302-00030.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54791","Empty","D02-BMT2",2019-01-23 23:18:37,"VID1302-00030.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54792","Empty","D02-BMT2",2019-01-23 23:19:07,"VID1302-00031.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54793","Empty","D02-BMT2",2019-01-23 23:19:07,"VID1302-00031.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54794","Empty","D02-BMT2",2019-01-23 23:20:17,"VID1302-00032.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
